recipe_id,recommended_recipe_id,reason
1,5,都是川菜，口味相近
1,12,都是川菜经典
2,1,都是川菜，搭配食用
2,5,都是川菜，口味互补
3,9,都有红烧肉，搭配土豆
3,4,都是江浙菜甜口
4,3,都是江浙菜，口味相近
5,1,都是川菜，搭配食用
5,12,都是川菜经典
6,7,都是简单家常菜
6,19,都是素菜
7,20,都用鸡蛋，搭配主食
7,8,都是简单家常菜
8,16,都是土豆料理
8,7,都是简单家常菜
9,3,都有红烧肉
9,7,家常菜搭配
10,14,都是清蒸海鲜
10,11,都是粤菜海鲜
11,10,都是海鲜蒸菜
11,14,都是海鲜
12,1,都是川菜经典
12,5,都是川菜
13,1,都是川菜，麻辣口味
13,5,都是川菜
14,10,都是清蒸海鲜
14,11,都是海鲜
15,8,都是家常菜
15,16,都是蔬菜料理
16,8,都是土豆料理
16,15,都是家常菜
17,4,都是甜口菜
17,18,都是肉类料理
18,17,都是肉类
18,3,都是红烧类
19,6,都是素菜
19,15,都是蔬菜
20,7,都用鸡蛋
20,17,都是快手菜
