ingredient_id,name,category,unit,calories_per_100g
1,鸡胸肉,肉类,克,165
2,花生,坚果,克,567
3,干辣椒,调料,克,324
4,花椒,调料,克,250
5,姜,调料,克,40
6,蒜,调料,克,116
7,葱,调料,克,25
8,豆腐,豆制品,克,70
9,猪肉,肉类,克,250
10,排骨,肉类,克,260
11,西兰花,蔬菜,克,34
12,番茄,蔬菜,克,18
13,鸡蛋,蛋类,个,130
14,土豆,蔬菜,克,77
15,青椒,蔬菜,克,25
16,鲈鱼,海鲜,克,105
17,扇贝,海鲜,克,140
18,粉丝,主食,克,340
19,虾,海鲜,克,85
20,茄子,蔬菜,克,25
21,鸡翅,肉类,克,190
22,可乐,饮料,毫升,42
23,鱼,海鲜,克,100
24,米饭,主食,克,130
25,酱油,调料,毫升,60
26,料酒,调料,毫升,16
27,盐,调料,克,0
28,糖,调料,克,400
29,醋,调料,毫升,21
30,豆瓣酱,调料,克,135
31,淀粉,调料,克,345
32,食用油,调料,毫升,900
33,香油,调料,毫升,884
34,蚝油,调料,毫升,110
35,生抽,调料,毫升,60
36,老抽,调料,毫升,80
37,料酒,调料,毫升,16
38,八角,调料,克,100
39,桂皮,调料,克,250
40,香叶,调料,克,300
