recipe_id,name,difficulty,cook_time,category,description,taste
1,宫保鸡丁,中等,25分钟,川菜,经典川菜，鸡肉嫩滑，花生酥脆,麻辣酸甜
2,麻婆豆腐,中等,20分钟,川菜,麻辣鲜香的豆腐料理,麻辣
3,红烧肉,困难,90分钟,江浙菜,肥而不腻的经典红烧肉,咸甜
4,糖醋排骨,中等,40分钟,江浙菜,酸甜可口的排骨,酸甜
5,鱼香肉丝,中等,25分钟,川菜,酸甜辣咸的经典口味,鱼香味
6,蒜蓉西兰花,简单,10分钟,素菜,健康营养的素菜,清淡
7,西红柿炒鸡蛋,简单,15分钟,家常菜,最经典的家常菜，酸甜可口,酸甜
8,青椒土豆丝,简单,12分钟,家常菜,下饭神器,微辣
9,土豆炖牛肉,中等,60分钟,家常菜,牛肉软烂入味,咸香
10,清蒸鲈鱼,中等,25分钟,粤菜,鲜嫩多汁的蒸鱼,清淡
11,蒜蓉粉丝蒸扇贝,中等,20分钟,粤菜,海鲜经典,蒜香
12,回锅肉,中等,20分钟,川菜,四川传统名菜,香辣
13,辣子鸡,困难,30分钟,川菜,麻辣酥脆的鸡肉,麻辣
14,清蒸虾,简单,10分钟,粤菜,原汁原味的海鲜,清淡
15,地三鲜,简单,15分钟,东北菜,土豆茄子青椒的组合,咸鲜
16,酸辣土豆丝,简单,12分钟,家常菜,酸辣开胃,酸辣
17,可乐鸡翅,中等,40分钟,家常菜,甜香浓郁的鸡翅,甜香
18,红烧鱼,中等,30分钟,家常菜,经典红烧做法,咸鲜
19,清炒时蔬,简单,8分钟,素菜,清爽健康,清淡
20,蛋炒饭,简单,10分钟,家常菜,快速便捷的主食,鲜香
21,红烧茄子,简单,15分钟,家常菜,软糯入味的茄子,咸香
22,酸辣白菜,简单,10分钟,家常菜,开胃下饭的泡菜,酸辣
23,蒜蓉炒生菜,简单,8分钟,素菜,清爽解腻,清淡
24,清蒸鲈鱼,中等,25分钟,粤菜,鲜嫩多汁,清淡
25,宫保虾球,中等,30分钟,川菜,虾仁Q弹,麻辣酸甜
26,水煮肉片,困难,25分钟,川菜,麻辣鲜香,麻辣
27,糖醋里脊,中等,30分钟,家常菜,外酥里嫩,酸甜
28,京酱肉丝,中等,25分钟,北京菜,配豆皮最佳,咸甜
29,蚂蚁上树,中等,20分钟,川菜,粉丝吸满肉香,微辣
30,干煸四季豆,简单,15分钟,川菜,干香下饭,香辣
31,西红柿鸡蛋汤,简单,10分钟,家常菜,酸甜开胃,酸甜
32,紫菜蛋花汤,简单,8分钟,家常菜,简单美味,清淡
33,酸菜鱼,中等,25分钟,川菜,酸辣爽口,酸辣
34,剁椒鱼头,困难,30分钟,湘菜,鲜辣开胃,香辣
35,红烧狮子头,中等,45分钟,江浙菜,肉香四溢,咸甜
36,东坡肉,困难,120分钟,江浙菜,肥而不腻,咸甜
37,佛跳墙,困难,180分钟,闽菜,名贵滋补,清淡
38,白切鸡,中等,20分钟,粤菜,原汁原味,清淡
39,盐焗鸡,中等,40分钟,粤菜,咸香入味,咸香
40,叉烧,中等,30分钟,粤菜,甜香诱人,甜香
41,青椒肉丝,简单,15分钟,家常菜,经典下饭菜,咸香
42,洋葱炒牛肉,中等,18分钟,家常菜,牛肉嫩滑洋葱香甜,咸香
43,红烧排骨,中等,50分钟,家常菜,色泽红亮味道醇厚,咸甜
44,冬瓜排骨汤,中等,40分钟,家常菜,汤鲜味美营养丰富,清淡
45,炒青菜,简单,6分钟,素菜,清爽可口,清淡
46,凉拌黄瓜,简单,5分钟,凉菜,酸辣爽口,酸辣
47,红烧豆腐,简单,12分钟,家常菜,豆腐入味下饭,咸香
48,韭菜炒鸡蛋,简单,10分钟,家常菜,韭菜鲜香鸡蛋嫩滑,鲜香
49,丝瓜炒蛋,简单,12分钟,家常菜,丝瓜清香鸡蛋鲜嫩,清淡
50,肉末茄子,中等,20分钟,家常菜,肉末香浓茄子软糯,咸香
51,土豆丝炒肉,简单,15分钟,家常菜,土豆丝爽脆肉片嫩滑,咸香
52,芹菜炒肉,简单,15分钟,家常菜,芹菜脆嫩肉丝鲜香,咸香
53,西兰花炒虾仁,中等,15分钟,家常菜,西兰花脆嫩虾仁鲜美,清淡
54,香菇炒青菜,简单,10分钟,素菜,香菇鲜香青菜爽脆,清淡
55,海带排骨汤,中等,50分钟,家常菜,汤鲜海带软糯,清淡
56,葱油拌面,简单,10分钟,主食,葱香浓郁面条筋道,咸香
57,火腿蛋炒饭,简单,12分钟,主食,火腿鲜香米饭粒粒分明,鲜香
58,黄瓜炒鸡蛋,简单,10分钟,家常菜,黄瓜脆嫩鸡蛋滑嫩,清淡
59,木耳炒肉,简单,15分钟,家常菜,木耳爽脆肉片鲜香,咸香
60,菠菜炒蛋,简单,10分钟,家常菜,菠菜鲜嫩鸡蛋嫩滑,清淡
61,蒜苔炒肉,简单,15分钟,家常菜,蒜苔脆嫩肉丝鲜香,咸香
62,毛豆炒肉,简单,18分钟,家常菜,毛豆清香肉片嫩滑,咸香
63,青椒炒鸡蛋,简单,10分钟,家常菜,青椒脆嫩鸡蛋滑嫩,鲜香
64,平菇炒肉,简单,12分钟,家常菜,平菇嫩滑肉片鲜香,咸香
65,冬瓜炒肉,简单,12分钟,家常菜,冬瓜软糯肉片鲜香,清淡
66,番茄牛肉汤,中等,40分钟,家常菜,汤酸甜牛肉软烂,酸甜
67,丝瓜汤,简单,10分钟,家常菜,汤清味鲜,清淡
68,冬瓜汤,简单,10分钟,家常菜,清爽解腻,清淡
69,紫菜豆腐汤,简单,8分钟,家常菜,汤鲜味美,清淡
70,黄瓜鸡蛋汤,简单,8分钟,家常菜,清爽可口,清淡
71,凉拌番茄,简单,5分钟,凉菜,酸甜开胃,酸甜
72,凉拌木耳,简单,8分钟,凉菜,爽脆可口,酸辣
73,凉拌海带丝,简单,10分钟,凉菜,酸辣爽口,酸辣
74,糖拌西红柿,简单,3分钟,凉菜,酸甜可口,酸甜
75,炸花生米,简单,8分钟,凉菜,香酥脆嫩,咸香
76,小葱拌豆腐,简单,5分钟,凉菜,清淡爽口,清淡
77,凉拌黄瓜木耳,简单,8分钟,凉菜,清爽可口,酸辣
78,凉拌三丝,简单,10分钟,凉菜,清爽开胃,酸辣
79,家常豆腐,中等,18分钟,家常菜,豆腐嫩滑味道鲜美,咸香
80,麻婆茄子,中等,20分钟,家常菜,麻辣鲜香茄子软糯,麻辣
